service_id,train_type,capacity,train_model,year,month,day_of_week,departure_time,duration,price,passengers,time_distance_competitor_-2,price_competitor_-2,train_type_competitor_-2,duration_competitor_-2,time_distance_competitor_-1,price_competitor_-1,train_type_competitor_-1,duration_competitor_-1,time_distance_competitor_1,price_competitor_1,train_type_competitor_1,duration_competitor_1,time_distance_competitor_2,price_competitor_2,train_type_competitor_2,duration_competitor_2
00004_02-01-2025-06.57,AVE,414,S-103,2025,1,3,6.95,157.0,64.48,230,-34.8,50.13,IRYO,157.0,-30.0,53.32,AVE,178.0,4.8,43.57,OUIGO,172.0,25.2,36.67,IRYO,157.0
00005_02-01-2025-07.02,OUIGO,509,S-108,2025,1,3,7.03,172.0,43.57,42,-34.8,53.32,AVE,178.0,-4.8,64.48,AVE,157.0,20.4,36.67,IRYO,157.0,25.2,32.35,AVE,199.0
00002_02-01-2025-07.22,IRYO,461,S-109,2025,1,3,7.37,157.0,36.67,313,-25.2,64.48,AVE,157.0,-20.4,43.57,OUIGO,172.0,4.8,32.35,AVE,199.0,34.8,36.28,AVE,157.0
00006_02-01-2025-07.27,AVE,414,S-103,2025,1,3,7.45,199.0,32.35,1205,-25.2,43.57,OUIGO,172.0,-4.8,36.67,IRYO,157.0,30.0,36.28,AVE,157.0,60.0,55.7,AVE,172.0
00004_02-01-2025-07.57,AVE,414,S-103,2025,1,3,7.95,157.0,36.28,1223,-34.8,36.67,IRYO,157.0,-30.0,32.35,AVE,199.0,30.0,55.7,AVE,172.0,34.8,39.61,IRYO,157.0
00007_02-01-2025-08.27,AVE,414,S-103,2025,1,3,8.45,172.0,55.7,130,-60.0,32.35,AVE,199.0,-30.0,36.28,AVE,157.0,4.8,39.61,IRYO,157.0,30.0,55.46,AVE,164.0
00002_02-01-2025-08.32,IRYO,461,S-109,2025,1,3,8.53,157.0,39.61,116,-34.8,36.28,AVE,157.0,-4.8,55.7,AVE,172.0,25.2,55.46,AVE,164.0,50.4,60.42,IRYO,172.0
00008_02-01-2025-08.57,AVE,414,S-103,2025,1,3,8.95,164.0,55.46,176,-30.0,55.7,AVE,172.0,-25.2,39.61,IRYO,157.0,25.2,60.42,IRYO,172.0,30.0,62.61,AVE,194.0
00009_02-01-2025-09.22,IRYO,461,S-109,2025,1,3,9.37,172.0,60.42,17,-50.4,39.61,IRYO,157.0,-25.2,55.46,AVE,164.0,4.8,62.61,AVE,194.0,34.8,69.42,IRYO,172.0
00010_02-01-2025-09.27,AVE,414,S-103,2025,1,3,9.45,194.0,62.61,120,-30.0,55.46,AVE,164.0,-4.8,60.42,IRYO,172.0,30.0,69.42,IRYO,172.0,34.8,48.58,OUIGO,182.0
00009_02-01-2025-09.57,IRYO,461,S-109,2025,1,3,9.95,172.0,69.42,5,-34.8,60.42,IRYO,172.0,-30.0,62.61,AVE,194.0,4.8,48.58,OUIGO,182.0,30.0,55.21,AVLO,172.0
00011_02-01-2025-10.02,OUIGO,509,S-108,2025,1,3,10.03,182.0,48.58,60,-34.8,62.61,AVE,194.0,-4.8,69.42,IRYO,172.0,25.2,55.21,AVLO,172.0,80.4,56.61,IRYO,172.0
00012_02-01-2025-10.27,AVLO,581,S-106,2025,1,3,10.45,172.0,55.21,84,-30.0,69.42,IRYO,172.0,-25.2,48.58,OUIGO,182.0,55.2,56.61,IRYO,172.0,60.0,52.04,AVE,199.0
00009_02-01-2025-11.22,IRYO,461,S-109,2025,1,3,11.37,172.0,56.61,77,-80.4,48.58,OUIGO,182.0,-55.2,55.21,AVLO,172.0,4.8,52.04,AVE,199.0,60.0,53.26,IRYO,172.0
00006_02-01-2025-11.27,AVE,826,S-103,2025,1,3,11.45,199.0,52.04,440,-60.0,55.21,AVLO,172.0,-4.8,56.61,IRYO,172.0,55.2,53.26,IRYO,172.0,60.0,42.32,AVE,197.0
00009_02-01-2025-12.22,IRYO,461,S-109,2025,1,3,12.37,172.0,53.26,76,-60.0,56.61,IRYO,172.0,-55.2,52.04,AVE,199.0,4.8,42.32,AVE,197.0,34.8,56.21,AVE,157.0
00013_02-01-2025-12.27,AVE,378,S-103,2025,1,3,12.45,197.0,42.32,825,-60.0,52.04,AVE,199.0,-4.8,53.26,IRYO,172.0,30.0,56.21,AVE,157.0,51.0,55.14,AVE,184.0
00004_02-01-2025-14.57,AVE,414,S-103,2025,1,3,14.95,157.0,100.33,22,-30.0,70.83,AVE,177.0,-15.0,54.94,IRYO,179.0,30.0,39.19,AVLO,199.0,60.0,85.83,AVE,157.0
00018_02-01-2025-15.27,AVLO,571,S-106,2025,1,3,15.45,199.0,39.19,412,-45.0,54.94,IRYO,179.0,-30.0,100.33,AVE,157.0,30.0,85.83,AVE,157.0,60.0,84.42,AVE,172.0
00004_02-01-2025-15.57,AVE,414,S-103,2025,1,3,15.95,157.0,85.83,131,-60.0,100.33,AVE,157.0,-30.0,39.19,AVLO,199.0,30.0,84.42,AVE,172.0,40.2,40.98,IRYO,157.0
00007_02-01-2025-16.27,AVE,414,S-103,2025,1,3,16.45,172.0,84.42,115,-60.0,39.19,AVLO,199.0,-30.0,85.83,AVE,157.0,10.2,40.98,IRYO,157.0,30.0,158.59,AVE,157.0
00002_02-01-2025-16.37,IRYO,461,S-109,2025,1,3,16.62,157.0,40.98,1342,-40.2,85.83,AVE,157.0,-10.2,84.42,AVE,172.0,19.8,158.59,AVE,157.0,39.6,46.54,OUIGO,157.0
00004_02-01-2025-16.57,AVE,414,S-103,2025,1,3,16.95,157.0,158.59,0,-30.0,84.42,AVE,172.0,-19.8,40.98,IRYO,157.0,19.8,46.54,OUIGO,157.0,25.2,82.59,IRYO,172.0
00015_02-01-2025-17.17,OUIGO,509,S-108,2025,1,3,17.28,157.0,46.54,306,-39.6,40.98,IRYO,157.0,-19.8,158.59,AVE,157.0,5.4,82.59,IRYO,172.0,10.2,105.88,AVE,199.0
00009_02-01-2025-17.22,IRYO,461,S-109,2025,1,3,17.37,172.0,82.59,10,-25.2,158.59,AVE,157.0,-5.4,46.54,OUIGO,157.0,4.8,105.88,AVE,199.0,34.8,48.4,AVE,157.0
00006_02-01-2025-17.27,AVE,414,S-103,2025,1,3,17.45,199.0,105.88,1,-10.2,46.54,OUIGO,157.0,-4.8,82.59,IRYO,172.0,30.0,48.4,AVE,157.0,60.0,79.61,AVE,177.0
00004_02-01-2025-17.57,AVE,414,S-103,2025,1,3,17.95,157.0,48.4,1515,-34.8,82.59,IRYO,172.0,-30.0,105.88,AVE,199.0,30.0,79.61,AVE,177.0,34.8,44.53,IRYO,157.0
00016_02-01-2025-18.27,AVE,414,S-103,2025,1,3,18.45,177.0,79.61,24,-60.0,105.88,AVE,199.0,-30.0,48.4,AVE,157.0,4.8,44.53,IRYO,157.0,30.0,80.27,AVE,157.0
00002_02-01-2025-18.32,IRYO,461,S-109,2025,1,3,18.53,157.0,44.53,259,-34.8,48.4,AVE,157.0,-4.8,79.61,AVE,177.0,25.2,80.27,AVE,157.0,57.0,29.95,IRYO,172.0
00004_02-01-2025-18.57,AVE,414,S-103,2025,1,3,18.95,157.0,80.27,21,-30.0,79.61,AVE,177.0,-25.2,44.53,IRYO,157.0,31.8,29.95,IRYO,172.0,37.2,28.74,AVLO,201.0
00009_02-01-2025-19.29,IRYO,461,S-109,2025,1,3,19.48,172.0,29.95,1293,-57.0,44.53,IRYO,157.0,-31.8,80.27,AVE,157.0,5.4,28.74,AVLO,201.0,36.0,50.24,AVE,157.0
00019_02-01-2025-19.34,AVLO,581,S-106,2025,1,3,19.57,201.0,28.74,1292,-37.2,80.27,AVE,157.0,-5.4,29.95,IRYO,172.0,30.6,50.24,AVE,157.0,48.0,31.51,IRYO,172.0
00004_02-01-2025-20.05,AVE,414,S-103,2025,1,3,20.08,157.0,50.24,110,-36.0,29.95,IRYO,172.0,-30.6,28.74,AVLO,201.0,17.4,31.51,IRYO,172.0,22.2,35.65,AVE,201.0
00009_02-01-2025-20.22,IRYO,461,S-109,2025,1,3,20.37,172.0,31.51,435,-48.0,28.74,AVLO,201.0,-17.4,50.24,AVE,157.0,4.8,35.65,AVE,201.0,39.6,43.77,OUIGO,172.0
00020_02-01-2025-20.27,AVE,414,S-103,2025,1,3,20.45,201.0,35.65,103,-22.2,50.24,AVE,157.0,-4.8,31.51,IRYO,172.0,34.8,43.77,OUIGO,172.0,40.2,64.02,AVE,172.0
00005_02-01-2025-21.02,OUIGO,509,S-108,2025,1,3,21.03,172.0,43.77,0,-39.6,31.51,IRYO,172.0,-34.8,35.65,AVE,201.0,5.4,64.02,AVE,172.0,879.6,21.14,IRYO,157.0
00007_02-01-2025-21.07,AVE,414,S-103,2025,1,3,21.12,172.0,64.02,2,-40.2,35.65,AVE,201.0,-5.4,43.77,OUIGO,172.0,885.0,21.14,IRYO,157.0,880.2,30.33,AVLO,178.0
00002_03-01-2025-06.22,IRYO,461,S-109,2025,1,4,6.37,157.0,21.14,4001,-879.6,43.77,OUIGO,172.0,-885.0,64.02,AVE,172.0,4.8,30.33,AVLO,178.0,34.8,39.76,AVE,157.0
00021_03-01-2025-06.27,AVLO,527,S-106,2025,1,4,6.45,178.0,30.33,388,-880.2,64.02,AVE,172.0,-4.8,21.14,IRYO,157.0,30.0,39.76,AVE,157.0,34.8,43.35,OUIGO,172.0
00004_03-01-2025-06.57,AVE,414,S-103,2025,1,4,6.95,157.0,39.76,524,-34.8,21.14,IRYO,157.0,-30.0,30.33,AVLO,178.0,4.8,43.35,OUIGO,172.0,25.2,61.31,IRYO,157.0
00005_03-01-2025-07.02,OUIGO,509,S-108,2025,1,4,7.03,172.0,43.35,23,-34.8,30.33,AVLO,178.0,-4.8,39.76,AVE,157.0,20.4,61.31,IRYO,157.0,25.2,67.57,AVE,199.0
00002_03-01-2025-07.22,IRYO,461,S-109,2025,1,4,7.37,157.0,61.31,3,-25.2,39.76,AVE,157.0,-20.4,43.35,OUIGO,172.0,4.8,67.57,AVE,199.0,34.8,52.29,AVE,157.0
00006_03-01-2025-07.27,AVE,414,S-103,2025,1,4,7.45,199.0,67.57,11,-25.2,43.35,OUIGO,172.0,-4.8,61.31,IRYO,157.0,30.0,52.29,AVE,157.0,64.8,21.3,IRYO,157.0
00004_03-01-2025-07.57,AVE,414,S-103,2025,1,4,7.95,157.0,52.29,121,-34.8,61.31,IRYO,157.0,-30.0,67.57,AVE,199.0,34.8,21.3,IRYO,157.0,60.0,103.69,AVE,164.0
00002_03-01-2025-08.32,IRYO,461,S-109,2025,1,4,8.53,157.0,21.3,6984,-64.8,67.57,AVE,199.0,-34.8,52.29,AVE,157.0,25.2,103.69,AVE,164.0,50.4,55.57,IRYO,172.0
00008_03-01-2025-08.57,AVE,414,S-103,2025,1,4,8.95,164.0,103.69,1,-60.0,52.29,AVE,157.0,-25.2,21.3,IRYO,157.0,25.2,55.57,IRYO,172.0,30.0,77.13,AVE,194.0
00009_03-01-2025-09.22,IRYO,461,S-109,2025,1,4,9.37,172.0,55.57,33,-50.4,21.3,IRYO,157.0,-25.2,103.69,AVE,164.0,4.8,77.13,AVE,194.0,34.8,42.73,IRYO,172.0
00010_03-01-2025-09.27,AVE,414,S-103,2025,1,4,9.45,194.0,77.13,27,-30.0,103.69,AVE,164.0,-4.8,55.57,IRYO,172.0,30.0,42.73,IRYO,172.0,34.8,44.26,OUIGO,182.0
00009_03-01-2025-09.57,IRYO,461,S-109,2025,1,4,9.95,172.0,42.73,204,-34.8,55.57,IRYO,172.0,-30.0,77.13,AVE,194.0,4.8,44.26,OUIGO,182.0,30.0,52.35,AVLO,172.0
00011_03-01-2025-10.02,OUIGO,509,S-108,2025,1,4,10.03,182.0,44.26,79,-34.8,77.13,AVE,194.0,-4.8,42.73,IRYO,172.0,25.2,52.35,AVLO,172.0,80.4,46.71,IRYO,172.0
00012_03-01-2025-10.27,AVLO,581,S-106,2025,1,4,10.45,172.0,52.35,87,-30.0,42.73,IRYO,172.0,-25.2,44.26,OUIGO,182.0,55.2,46.71,IRYO,172.0,60.0,98.13,AVE,199.0
00009_03-01-2025-11.22,IRYO,461,S-109,2025,1,4,11.37,172.0,46.71,190,-80.4,44.26,OUIGO,182.0,-55.2,52.35,AVLO,172.0,4.8,98.13,AVE,199.0,60.0,40.37,IRYO,172.0
00006_03-01-2025-11.27,AVE,826,S-103,2025,1,4,11.45,199.0,98.13,3,-60.0,52.35,AVLO,172.0,-4.8,46.71,IRYO,172.0,55.2,40.37,IRYO,172.0,60.0,41.44,AVE,197.0
00009_03-01-2025-12.22,IRYO,461,S-109,2025,1,4,12.37,172.0,40.37,268,-60.0,46.71,IRYO,172.0,-55.2,98.13,AVE,199.0,4.8,41.44,AVE,197.0,34.8,78.11,AVE,157.0
00013_03-01-2025-12.27,AVE,378,S-103,2025,1,4,12.45,197.0,41.44,694,-60.0,98.13,AVE,199.0,-4.8,40.37,IRYO,172.0,30.0,78.11,AVE,157.0,51.0,55.14,AVE,184.0
00004_03-01-2025-12.57,AVE,414,S-103,2025,1,4,12.95,157.0,78.11,49,-34.8,40.37,IRYO,172.0,-30.0,41.44,AVE,197.0,21.0,55.14,AVE,184.0,60.0,91.9,AVE,157.0
00014_03-01-2025-13.18,AVE,339,S-100,2025,1,4,13.3,184.0,55.14,104,-51.0,41.44,AVE,197.0,-21.0,78.11,AVE,157.0,39.0,91.9,AVE,157.0,43.8,80.08,IRYO,172.0
00004_03-01-2025-13.57,AVE,414,s-103,2025,1,4,13.95,157.0,91.9,15,-60.0,78.11,AVE,157.0,-39.0,55.14,AVE,184.0,4.8,80.08,IRYO,172.0,15.0,67.25,OUIGO,157.0
00009_03-01-2025-14.02,IRYO,461,S-109,2025,1,4,14.03,172.0,80.08,3,-43.8,55.14,AVE,184.0,-4.8,91.9,AVE,157.0,10.2,67.25,OUIGO,157.0,25.2,96.56,AVE,177.0
00015_03-01-2025-14.12,OUIGO,509,S-108,2025,1,4,14.2,157.0,67.25,9,-15.0,91.9,AVE,157.0,-10.2,80.08,IRYO,172.0,15.0,96.56,AVE,177.0,30.0,79.9,IRYO,179.0
00016_03-01-2025-14.27,AVE,291,S-100,2025,1,4,14.45,177.0,96.56,5,-25.2,80.08,IRYO,172.0,-15.0,67.25,OUIGO,157.0,15.0,79.9,IRYO,179.0,30.0,85.14,AVE,157.0
00017_03-01-2025-14.42,IRYO,461,S-109,2025,1,4,14.7,179.0,79.9,4,-30.0,67.25,OUIGO,157.0,-15.0,96.56,AVE,177.0,15.0,85.14,AVE,157.0,45.0,56.2,AVLO,199.0
00004_03-01-2025-14.57,AVE,414,S-103,2025,1,4,14.95,157.0,85.14,81,-30.0,96.56,AVE,177.0,-15.0,79.9,IRYO,179.0,30.0,56.2,AVLO,199.0,60.0,85.09,AVE,157.0
00018_03-01-2025-15.27,AVLO,547,S-106,2025,1,4,15.45,199.0,56.2,58,-45.0,79.9,IRYO,179.0,-30.0,85.14,AVE,157.0,30.0,85.09,AVE,157.0,60.0,96.12,AVE,172.0
00004_03-01-2025-15.57,AVE,414,S-103,2025,1,4,15.95,157.0,85.09,89,-60.0,85.14,AVE,157.0,-30.0,56.2,AVLO,199.0,30.0,96.12,AVE,172.0,40.2,73.08,IRYO,157.0
00007_03-01-2025-16.27,AVE,414,S-103,2025,1,4,16.45,172.0,96.12,18,-60.0,56.2,AVLO,199.0,-30.0,85.09,AVE,157.0,10.2,73.08,IRYO,157.0,30.0,87.11,AVE,157.0
00002_03-01-2025-16.37,IRYO,461,S-109,2025,1,4,16.62,157.0,73.08,62,-40.2,85.09,AVE,157.0,-10.2,96.12,AVE,172.0,19.8,87.11,AVE,157.0,39.6,62.67,OUIGO,157.0
00004_03-01-2025-16.57,AVE,414,S-103,2025,1,4,16.95,157.0,87.11,105,-30.0,96.12,AVE,172.0,-19.8,73.08,IRYO,157.0,19.8,62.67,OUIGO,157.0,25.2,63.56,IRYO,172.0
00015_03-01-2025-17.17,OUIGO,509,S-108,2025,1,4,17.28,157.0,62.67,47,-39.6,73.08,IRYO,157.0,-19.8,87.11,AVE,157.0,5.4,63.56,IRYO,172.0,10.2,51.14,AVLO,199.0
00009_03-01-2025-17.22,IRYO,461,S-109,2025,1,4,17.37,172.0,63.56,50,-25.2,87.11,AVE,157.0,-5.4,62.67,OUIGO,157.0,4.8,51.14,AVLO,199.0,34.8,56.81,AVE,157.0
00018_03-01-2025-17.27,AVLO,581,S-106,2025,1,4,17.45,199.0,51.14,57,-10.2,62.67,OUIGO,157.0,-4.8,63.56,IRYO,172.0,30.0,56.81,AVE,157.0,60.0,75.94,AVE,177.0
00004_03-01-2025-17.57,AVE,414,S-103,2025,1,4,17.95,157.0,56.81,422,-34.8,63.56,IRYO,172.0,-30.0,51.14,AVLO,199.0,30.0,75.94,AVE,177.0,34.8,35.1,IRYO,157.0
